ShipmentID;ClientID;ClientName;OriginCountry;OriginCity;OriginCode;DestCountry;DestCity;DestCode;TransportMode;Carrier;HS_Code;CustomsRegime;BookingDate;DepartureDate;ArrivalDate;ClearanceDate;TransitDays;ClearanceDays;OnTime;Direction;CargoValueEUR;DutyRatePct;DutyPayableEUR;DutySavedEUR;DutyPaidEUR
SHP0028;CLT003;Crestwood Automotive Parts;Turkey;Istanbul;TR;Germany;Hamburg;DE;Sea;DB Schenker;6203.42;IP Relief;2023-10-16;2023-10-21;2023-11-27;2023-12-03;37;6;FALSE;Export;89005,67;12;10680,68;7910,37;2770,31
SHP0029;CLT009;GreenLeaf Organics;South Korea;Busan;KR;Spain;Barcelona;ES;Rail;Maersk;8517.12;Standard Entry;2024-03-09;2024-03-11;2024-03-23;2024-03-24;12;1;TRUE;Import;86721,35;0;0;0;0
SHP0030;CLT005;Pinnacle Foods International;India;Mumbai;IN;Poland;Gdansk;PL;Air;FedEx;0901.11;Standard Entry;2023-04-25;2023-04-29;2023-05-01;2023-05-06;2;5;FALSE;Export;13826,89;0;0;0;0
SHP0031;CLT010;Quantum Tech Imports;Thailand;Bangkok;TH;France;Le Havre;FR;Air;CMA CGM;8471.30;IP Relief;2024-01-09;2024-01-16;2024-01-18;2024-01-20;2;2;TRUE;Export;172106,34;0;0;0;0
SHP0032;CLT009;GreenLeaf Organics;Japan;Tokyo;JP;Sweden;Gothenburg;SE;Road;CMA CGM;8443.32;FTA Relief;2023-06-16;2023-06-24;2023-06-29;2023-06-30;5;1;TRUE;Import;48943,36;0;0;0;0
SHP0033;CLT004;Solaris Chemical Solutions;Turkey;Istanbul;TR;France;Le Havre;FR;Rail;MSC;2917.36;Standard Entry;2024-04-26;2024-05-01;2024-05-12;2024-05-19;11;7;FALSE;Export;230020,72;5,5;12651,14;0;12651,14
SHP0034;CLT005;Pinnacle Foods International;Vietnam;Ho Chi Minh City;VN;Netherlands;Rotterdam;NL;Sea;Hapag-Lloyd;2917.36;IP Relief;2023-10-13;2023-10-16;2023-11-30;2023-12-07;45;7;FALSE;Import;73385,62;5,5;4036,21;2924,31;1111,9
SHP0035;CLT009;GreenLeaf Organics;Bangladesh;Dhaka;BD;United Kingdom;Felixstowe;GB;Sea;Evergreen;6203.42;End Use Relief;2023-09-29;2023-10-02;2023-10-21;2023-10-26;19;5;FALSE;Export;111468,12;12;13376,17;10098,88;3277,29
SHP0036;CLT007;BlueSky Pharmaceuticals;Mexico;Mexico City;MX;Portugal;Lisbon;PT;Sea;FedEx;8443.32;End Use Relief;2023-07-14;2023-07-16;2023-08-11;2023-08-17;26;6;FALSE;Import;111834,09;0;0;0;0
SHP0037;CLT006;Vortex Machinery Co.;Japan;Tokyo;JP;Germany;Hamburg;DE;Road;DHL Express;8428.90;IP Relief;2024-11-10;2024-11-16;2024-11-20;2024-11-25;4;5;FALSE;Import;80774,74;1,7;1373,17;882,86;490,31
SHP0038;CLT005;Pinnacle Foods International;Thailand;Bangkok;TH;France;Le Havre;FR;Sea;FedEx;3004.90;Temporary Admission;2024-11-24;2024-11-28;2025-01-08;2025-01-13;41;5;FALSE;Import;144430,79;0;0;0;0
SHP0039;CLT005;Pinnacle Foods International;Turkey;Istanbul;TR;Netherlands;Rotterdam;NL;Air;Kuehne+Nagel;8428.90;Standard Entry;2023-11-26;2023-12-05;2023-12-10;2023-12-14;5;4;FALSE;Import;170528,67;1,7;2898,99;0;2898,99
SHP0040;CLT003;Crestwood Automotive Parts;USA;New York;US;Spain;Barcelona;ES;Air;Kuehne+Nagel;8708.99;Standard Entry;2023-08-29;2023-09-04;2023-09-11;2023-09-13;7;2;TRUE;Import;202607,91;4,5;9117,36;0;9117,36
SHP0041;CLT001;Meridian Electronics Ltd;China;Shanghai;CN;Netherlands;Rotterdam;NL;Air;Kuehne+Nagel;6110.20;Standard Entry;2024-04-11;2024-04-16;2024-04-21;2024-04-27;5;6;FALSE;Import;175606,79;12;21072,81;0;21072,81
SHP0042;CLT007;BlueSky Pharmaceuticals;Vietnam;Ho Chi Minh City;VN;France;Le Havre;FR;Road;Maersk;8443.32;Standard Entry;2024-03-11;2024-03-15;2024-03-21;2024-03-28;6;7;FALSE;Import;239701,68;0;0;0;0
SHP0043;CLT001;Meridian Electronics Ltd;Thailand;Bangkok;TH;Netherlands;Rotterdam;NL;Rail;MSC;2106.90;FTA Relief;2024-04-20;2024-04-30;2024-05-18;2024-05-23;18;5;FALSE;Import;150885,82;9;13579,72;13376,19;203,53
SHP0044;CLT010;Quantum Tech Imports;Thailand;Bangkok;TH;Belgium;Antwerp;BE;Rail;DB Schenker;2106.90;FTA Relief;2024-05-01;2024-05-07;2024-05-22;2024-05-29;15;7;FALSE;Import;65573,74;9;5901,64;5260,12;641,52
SHP0045;CLT004;Solaris Chemical Solutions;Turkey;Istanbul;TR;Poland;Gdansk;PL;Sea;Evergreen;6204.62;IP Relief;2023-12-10;2023-12-20;2024-01-17;2024-01-18;28;1;TRUE;Import;38901,65;12;4668,2;2711,95;1956,25
SHP0046;CLT004;Solaris Chemical Solutions;USA;New York;US;Belgium;Antwerp;BE;Air;DHL Express;0901.11;Temporary Admission;2024-03-01;2024-03-06;2024-03-08;2024-03-15;2;7;FALSE;Import;107935,16;0;0;0;0
SHP0047;CLT010;Quantum Tech Imports;Japan;Tokyo;JP;Poland;Gdansk;PL;Sea;DHL Express;8708.29;Temporary Admission;2024-03-05;2024-03-15;2024-04-19;2024-04-26;35;7;FALSE;Import;152796,88;4,5;6875,86;5803,97;1071,89
SHP0048;CLT005;Pinnacle Foods International;Japan;Tokyo;JP;Poland;Gdansk;PL;Sea;FedEx;8708.99;Standard Entry;2024-11-26;2024-12-04;2025-01-16;2025-01-22;43;6;FALSE;Import;45435,96;4,5;2044,62;0;2044,62
SHP0049;CLT003;Crestwood Automotive Parts;Mexico;Mexico City;MX;Portugal;Lisbon;PT;Sea;FedEx;8428.90;End Use Relief;2024-11-09;2024-11-12;2024-11-30;2024-12-06;18;6;FALSE;Import;110010,13;1,7;1870,17;1502,49;367,68
SHP0050;CLT001;Meridian Electronics Ltd;Turkey;Istanbul;TR;Belgium;Antwerp;BE;Sea;Hapag-Lloyd;2106.90;IP Relief;2023-12-12;2023-12-20;2024-01-31;2024-02-03;42;3;TRUE;Export;189242,41;9;17031,82;13475,12;3556,7
SHP0051;CLT002;Atlas Apparel Group;South Korea;Busan;KR;United Kingdom;Felixstowe;GB;Road;DB Schenker;8471.30;IP Relief;2023-08-18;2023-08-20;2023-08-24;2023-08-31;4;7;FALSE;Import;12602,35;0;0;0;0
SHP0052;CLT010;Quantum Tech Imports;India;Mumbai;IN;Netherlands;Rotterdam;NL;Sea;UPS;3004.90;Standard Entry;2024-07-31;2024-08-09;2024-09-02;2024-09-08;24;6;FALSE;Export;67779,71;0;0;0;0
SHP0053;CLT003;Crestwood Automotive Parts;Mexico;Mexico City;MX;Sweden;Gothenburg;SE;Road;MSC;8542.31;FTA Relief;2023-11-15;2023-11-17;2023-11-21;2023-11-24;4;3;TRUE;Import;146070,2;0;0;0;0
SHP0054;CLT007;BlueSky Pharmaceuticals;Vietnam;Ho Chi Minh City;VN;Germany;Hamburg;DE;Air;Hapag-Lloyd;8517.12;Standard Entry;2023-11-05;2023-11-08;2023-11-15;2023-11-22;7;7;FALSE;Import;246041,87;0;0;0;0
SHP0055;CLT006;Vortex Machinery Co.;Thailand;Bangkok;TH;Belgium;Antwerp;BE;Road;DHL Express;8517.12;End Use Relief;2024-10-25;2024-10-27;2024-11-04;2024-11-11;8;7;FALSE;Import;107914,39;0;0;0;0
SHP0056;CLT006;Vortex Machinery Co.;South Korea;Busan;KR;France;Le Havre;FR;Air;CMA CGM;7208.51;End Use Relief;2024-10-28;2024-11-07;2024-11-11;2024-11-18;4;7;FALSE;Export;123456,89;0;0;0;0
SHP0057;CLT006;Vortex Machinery Co.;Vietnam;Ho Chi Minh City;VN;Germany;Hamburg;DE;Sea;UPS;6204.62;Temporary Admission;2024-08-06;2024-08-14;2024-09-20;2024-09-23;37;3;TRUE;Import;12031,5;12;1443,78;1400,74;43,04
SHP0058;CLT008;Ironclad Steel Works;Vietnam;Ho Chi Minh City;VN;Italy;Genoa;IT;Rail;Evergreen;8708.99;IP Relief;2024-09-02;2024-09-08;2024-09-27;2024-10-02;19;5;FALSE;Import;7487,02;4,5;336,92;280,26;56,66
SHP0059;CLT004;Solaris Chemical Solutions;Japan;Tokyo;JP;Poland;Gdansk;PL;Air;Hapag-Lloyd;7208.51;Temporary Admission;2024-10-23;2024-11-01;2024-11-08;2024-11-12;7;4;FALSE;Import;199268,55;0;0;0;0
SHP0060;CLT007;BlueSky Pharmaceuticals;Vietnam;Ho Chi Minh City;VN;Spain;Barcelona;ES;Road;Kuehne+Nagel;8708.99;Temporary Admission;2024-07-20;2024-07-28;2024-08-05;2024-08-11;8;6;FALSE;Import;139845,18;4,5;6293,03;5477,21;815,82
SHP0061;CLT005;Pinnacle Foods International;Turkey;Istanbul;TR;Spain;Barcelona;ES;Sea;MSC;7208.51;FTA Relief;2023-11-20;2023-11-30;2023-12-21;2023-12-28;21;7;FALSE;Import;174090,07;0;0;0;0
SHP0062;CLT005;Pinnacle Foods International;Mexico;Mexico City;MX;Portugal;Lisbon;PT;Air;Evergreen;8517.12;FTA Relief;2023-10-31;2023-11-07;2023-11-10;2023-11-12;3;2;TRUE;Import;79055,56;0;0;0;0
SHP0063;CLT005;Pinnacle Foods International;China;Shanghai;CN;United Kingdom;Felixstowe;GB;Air;Evergreen;7208.51;FTA Relief;2024-10-15;2024-10-18;2024-10-23;2024-10-30;5;7;FALSE;Import;8005,02;0;0;0;0
SHP0064;CLT008;Ironclad Steel Works;Bangladesh;Dhaka;BD;France;Le Havre;FR;Sea;Evergreen;6110.20;Temporary Admission;2023-04-27;2023-04-30;2023-06-13;2023-06-17;44;4;FALSE;Import;125477,91;12;15057,35;13783,56;1273,79
SHP0065;CLT003;Crestwood Automotive Parts;India;Mumbai;IN;Sweden;Gothenburg;SE;Sea;MSC;6204.62;Standard Entry;2024-07-25;2024-08-02;2024-09-13;2024-09-18;42;5;FALSE;Import;151051,08;12;18126,13;0;18126,13
SHP0066;CLT009;GreenLeaf Organics;Japan;Tokyo;JP;Poland;Gdansk;PL;Air;Evergreen;6110.20;End Use Relief;2024-03-15;2024-03-17;2024-03-21;2024-03-26;4;5;FALSE;Import;240226,65;12;28827,2;15414,82;13412,38
SHP0067;CLT004;Solaris Chemical Solutions;Turkey;Istanbul;TR;Germany;Hamburg;DE;Sea;Hapag-Lloyd;6203.42;End Use Relief;2023-03-18;2023-03-20;2023-04-12;2023-04-16;23;4;FALSE;Export;115373,41;12;13844,81;9799,83;4044,98
SHP0068;CLT001;Meridian Electronics Ltd;Vietnam;Ho Chi Minh City;VN;Spain;Barcelona;ES;Road;Evergreen;7208.51;Temporary Admission;2023-03-14;2023-03-20;2023-03-26;2023-04-02;6;7;FALSE;Import;198855,7;0;0;0;0
SHP0069;CLT007;BlueSky Pharmaceuticals;USA;New York;US;Portugal;Lisbon;PT;Sea;CMA CGM;8443.32;IP Relief;2023-05-26;2023-05-28;2023-06-17;2023-06-19;20;2;TRUE;Export;199194;0;0;0;0
SHP0070;CLT008;Ironclad Steel Works;USA;New York;US;Poland;Gdansk;PL;Road;Evergreen;7208.51;Temporary Admission;2023-10-06;2023-10-15;2023-10-25;2023-10-26;10;1;TRUE;Export;151518,98;0;0;0;0
SHP0071;CLT010;Quantum Tech Imports;Turkey;Istanbul;TR;United Kingdom;Felixstowe;GB;Sea;Hapag-Lloyd;3004.90;End Use Relief;2024-08-24;2024-08-30;2024-09-17;2024-09-22;18;5;FALSE;Import;14856,76;0;0;0;0
SHP0072;CLT009;GreenLeaf Organics;South Korea;Busan;KR;Spain;Barcelona;ES;Sea;Kuehne+Nagel;2917.36;Standard Entry;2024-05-18;2024-05-27;2024-06-16;2024-06-19;20;3;TRUE;Export;105045,28;5,5;5777,49;0;5777,49
SHP0073;CLT002;Atlas Apparel Group;India;Mumbai;IN;Italy;Genoa;IT;Air;UPS;8708.29;Standard Entry;2024-02-15;2024-02-17;2024-02-23;2024-02-27;6;4;FALSE;Export;26574,65;4,5;1195,86;0;1195,86
SHP0074;CLT006;Vortex Machinery Co.;USA;New York;US;Belgium;Antwerp;BE;Rail;DB Schenker;6110.20;Standard Entry;2024-11-04;2024-11-13;2024-11-29;2024-12-03;16;4;FALSE;Export;18280;12;2193,6;0;2193,6
SHP0075;CLT010;Quantum Tech Imports;South Korea;Busan;KR;Poland;Gdansk;PL;Rail;Maersk;6204.62;IP Relief;2024-07-16;2024-07-22;2024-08-01;2024-08-05;10;4;FALSE;Import;220807,42;12;26496,89;17743,62;8753,27
SHP0076;CLT010;Quantum Tech Imports;Vietnam;Ho Chi Minh City;VN;France;Le Havre;FR;Sea;DB Schenker;8471.30;End Use Relief;2024-02-22;2024-02-27;2024-03-18;2024-03-25;20;7;FALSE;Import;228667,82;0;0;0;0
SHP0077;CLT003;Crestwood Automotive Parts;South Korea;Busan;KR;Spain;Barcelona;ES;Air;Evergreen;2917.36;Temporary Admission;2024-04-28;2024-05-07;2024-05-10;2024-05-15;3;5;FALSE;Import;40437,28;5,5;2224,05;1864,03;360,02
SHP0078;CLT002;Atlas Apparel Group;Turkey;Istanbul;TR;Belgium;Antwerp;BE;Sea;DB Schenker;8708.29;Standard Entry;2023-10-17;2023-10-23;2023-12-03;2023-12-10;41;7;FALSE;Import;148799,74;4,5;6695,99;0;6695,99
SHP0079;CLT003;Crestwood Automotive Parts;South Korea;Busan;KR;Portugal;Lisbon;PT;Air;DHL Express;8708.99;End Use Relief;2024-07-10;2024-07-19;2024-07-24;2024-07-27;5;3;TRUE;Import;218052,41;4,5;9812,36;8274,48;1537,88
SHP0080;CLT010;Quantum Tech Imports;Japan;Tokyo;JP;Netherlands;Rotterdam;NL;Rail;FedEx;8471.30;IP Relief;2024-04-29;2024-05-07;2024-05-26;2024-05-30;19;4;FALSE;Import;247161,43;0;0;0;0
SHP0081;CLT008;Ironclad Steel Works;China;Shanghai;CN;France;Le Havre;FR;Air;Kuehne+Nagel;8708.99;Standard Entry;2024-03-26;2024-04-05;2024-04-07;2024-04-11;2;4;FALSE;Import;8760,16;4,5;394,21;0;394,21
SHP0082;CLT007;BlueSky Pharmaceuticals;India;Mumbai;IN;Germany;Hamburg;DE;Air;Evergreen;8708.99;End Use Relief;2024-12-10;2024-12-13;2024-12-18;2024-12-25;5;7;FALSE;Import;85498,57;4,5;3847,44;2831,81;1015,63
SHP0083;CLT006;Vortex Machinery Co.;South Korea;Busan;KR;Portugal;Lisbon;PT;Sea;Kuehne+Nagel;8517.12;FTA Relief;2024-10-08;2024-10-14;2024-11-22;2024-11-24;39;2;TRUE;Import;187957,76;0;0;0;0
SHP0084;CLT002;Atlas Apparel Group;South Korea;Busan;KR;France;Le Havre;FR;Road;Evergreen;8443.32;Standard Entry;2023-02-17;2023-02-19;2023-02-27;2023-03-02;8;3;TRUE;Import;92823,52;0;0;0;0
SHP0085;CLT003;Crestwood Automotive Parts;Vietnam;Ho Chi Minh City;VN;Portugal;Lisbon;PT;Air;Kuehne+Nagel;3004.90;FTA Relief;2023-06-24;2023-06-27;2023-06-30;2023-07-05;3;5;FALSE;Import;218355,7;0;0;0;0
SHP0086;CLT008;Ironclad Steel Works;Mexico;Mexico City;MX;France;Le Havre;FR;Sea;UPS;3004.90;IP Relief;2024-04-15;2024-04-17;2024-05-13;2024-05-20;26;7;FALSE;Import;118987,05;0;0;0;0
SHP0087;CLT002;Atlas Apparel Group;South Korea;Busan;KR;Italy;Genoa;IT;Air;Evergreen;3004.90;Temporary Admission;2024-12-07;2024-12-16;2024-12-20;2024-12-27;4;7;FALSE;Import;79019,81;0;0;0;0
SHP0088;CLT002;Atlas Apparel Group;Vietnam;Ho Chi Minh City;VN;Belgium;Antwerp;BE;Air;DHL Express;8428.90;IP Relief;2024-12-17;2024-12-19;2024-12-23;2024-12-30;4;7;FALSE;Import;166266,3;1,7;2826,53;1684,8;1141,73
SHP0089;CLT010;Quantum Tech Imports;South Korea;Busan;KR;Spain;Barcelona;ES;Rail;Hapag-Lloyd;8428.90;IP Relief;2023-08-13;2023-08-18;2023-09-05;2023-09-10;18;5;FALSE;Import;66403,57;1,7;1128,86;862,96;265,9
SHP0090;CLT002;Atlas Apparel Group;China;Shanghai;CN;Spain;Barcelona;ES;Rail;UPS;8471.30;End Use Relief;2024-01-09;2024-01-13;2024-02-01;2024-02-02;19;1;TRUE;Import;227858,81;0;0;0;0
SHP0091;CLT003;Crestwood Automotive Parts;Vietnam;Ho Chi Minh City;VN;France;Le Havre;FR;Rail;DB Schenker;8443.32;IP Relief;2024-06-27;2024-07-03;2024-07-19;2024-07-26;16;7;FALSE;Import;45313,38;0;0;0;0
SHP0092;CLT005;Pinnacle Foods International;Bangladesh;Dhaka;BD;Germany;Hamburg;DE;Air;MSC;6203.42;FTA Relief;2024-11-23;2024-12-01;2024-12-08;2024-12-15;7;7;FALSE;Import;202123,97;12;24254,88;19639,96;4614,92
SHP0093;CLT001;Meridian Electronics Ltd;Turkey;Istanbul;TR;Portugal;Lisbon;PT;Sea;UPS;8708.99;Standard Entry;2024-11-19;2024-11-27;2024-12-23;2024-12-30;26;7;FALSE;Export;161444,57;4,5;7265,01;0;7265,01
SHP0094;CLT002;Atlas Apparel Group;Vietnam;Ho Chi Minh City;VN;Poland;Gdansk;PL;Sea;Kuehne+Nagel;8443.32;End Use Relief;2023-12-02;2023-12-07;2024-01-13;2024-01-19;37;6;FALSE;Export;20488,18;0;0;0;0
SHP0095;CLT007;BlueSky Pharmaceuticals;USA;New York;US;France;Le Havre;FR;Sea;Maersk;8708.29;Temporary Admission;2023-04-29;2023-05-04;2023-05-25;2023-05-30;21;5;FALSE;Import;38237,69;4,5;1720,7;1532,68;188,02
SHP0096;CLT010;Quantum Tech Imports;India;Mumbai;IN;Belgium;Antwerp;BE;Road;MSC;6110.20;Temporary Admission;2024-09-22;2024-09-28;2024-10-07;2024-10-08;9;1;TRUE;Import;174118,76;12;20894,25;17623,34;3270,91
SHP0097;CLT004;Solaris Chemical Solutions;Bangladesh;Dhaka;BD;Germany;Hamburg;DE;Road;DHL Express;0901.11;Standard Entry;2024-01-03;2024-01-11;2024-01-14;2024-01-17;3;3;TRUE;Import;51503,1;0;0;0;0
SHP0098;CLT008;Ironclad Steel Works;USA;New York;US;Netherlands;Rotterdam;NL;Road;Kuehne+Nagel;8471.30;Standard Entry;2023-12-08;2023-12-12;2023-12-18;2023-12-25;6;7;FALSE;Import;143321,6;0;0;0;0
SHP0099;CLT009;GreenLeaf Organics;Vietnam;Ho Chi Minh City;VN;Sweden;Gothenburg;SE;Sea;Hapag-Lloyd;8708.99;FTA Relief;2024-09-02;2024-09-08;2024-09-26;2024-10-03;18;7;FALSE;Export;246086,89;4,5;11073,91;11032,47;41,44
SHP0100;CLT003;Crestwood Automotive Parts;USA;New York;US;United Kingdom;Felixstowe;GB;Sea;Maersk;8708.99;FTA Relief;2024-08-25;2024-08-27;2024-09-24;2024-09-26;28;2;TRUE;Import;70015,04;4,5;3150,68;2325,29;825,39
SHP0101;CLT009;GreenLeaf Organics;USA;New York;US;Germany;Hamburg;DE;Air;UPS;8542.31;IP Relief;2024-06-09;2024-06-12;2024-06-18;2024-06-22;6;4;FALSE;Import;128440,48;0;0;0;0
SHP0102;CLT009;GreenLeaf Organics;Turkey;Istanbul;TR;Poland;Gdansk;PL;Road;Maersk;8471.30;Temporary Admission;2024-02-16;2024-02-19;2024-02-28;2024-03-03;9;4;FALSE;Import;179538,32;0;0;0;0
SHP0103;CLT006;Vortex Machinery Co.;Mexico;Mexico City;MX;France;Le Havre;FR;Sea;CMA CGM;8708.29;End Use Relief;2024-10-10;2024-10-20;2024-11-25;2024-12-01;36;6;FALSE;Export;84670,43;4,5;3810,17;3231,48;578,69
SHP0104;CLT008;Ironclad Steel Works;Thailand;Bangkok;TH;Sweden;Gothenburg;SE;Air;MSC;8542.31;Standard Entry;2023-04-28;2023-05-08;2023-05-15;2023-05-21;7;6;FALSE;Import;217045,62;0;0;0;0
SHP0105;CLT008;Ironclad Steel Works;Vietnam;Ho Chi Minh City;VN;Belgium;Antwerp;BE;Sea;UPS;2917.36;Temporary Admission;2023-04-08;2023-04-16;2023-05-14;2023-05-17;28;3;TRUE;Import;167951,43;5,5;9237,33;8081,37;1155,96
